placement_id,placement_name,line_item_name,revenue,imps,imps_blank,imps_default_error,imps_default_bidder,size
9874175,101760_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.008966,39,0,0,35,300x250
4953581,100556_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.000000,1,0,0,0,300x250
9804183,101729_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.000000,1,0,0,1,300x250
9012848,100264_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x100
4565277,101011_USINT_BTF_300x250_34258176_2M,DD_IZEA_ALL_300x250_34206816_1,0.006000,12,0,0,0,300x250
4429656,100162_USINT_BTF_300X250_34258176_1M,Resold Line Item,0.045428,138,0,0,0,300x250
9029683,700142_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000444,1,0,0,0,728x90
4429504,100154_USINT_BTF_300X250_34258176_1W,Resold Line Item,0.002963,8,0,0,0,300x250
9377640,101650_USINT_ATF_300x250_34258176_1M,Resold Line Item,0.011861,126,0,0,117,300x250
8802981,101590_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,2,0,0,2,728x90
10132532,101821_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.681941,379,0,0,0,728x90
10590129,100723_USINT_BTF_300x600_34258176_2,Resold Line Item,0.000000,8,0,0,8,300x600
9012212,100370_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
4469020,100614_USINT_ATF_728x90_34258176_1W,Resold Line Item,0.000000,0,0,0,0,728x90
9736389,700596_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.009985,31,0,0,0,300x600
8802435,700428_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.000000,35,0,0,35,300x250
9016237,100721_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.036740,8,0,0,0,300x250
5353650,101191_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.013848,12,0,0,0,300x250
9024894,101468_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
4474712,100723_USINT_ATF_728x90_34258176_1W,Resold Line Item,0.002830,12,0,0,11,728x90
4901672,101109_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.017814,167,0,0,0,300x250
9031372,700223_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.017642,28,0,0,0,300x250
9016812,100854_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.026842,30,0,0,0,320x50
4936967,100991_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.015986,75,0,0,65,300x250
4449481,100339_USINT_BTF_300X250_34258176_1M,Resold Line Item,0.000000,4,0,0,4,300x250
9030985,700161_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.004847,7,0,0,0,320x50
4415747,100022_USINT_BTF_300x250_ 34258176_1W,Resold Line Item,0.001124,33,0,0,0,300x250
4518123,100920_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.000000,6,0,0,6,300x250
4580953,101023_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.000000,63,0,0,63,728x90
4422742,100079_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.001702,4,0,0,2,300x250
9029901,700155_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
9010870,100408_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.111178,128,0,0,0,300x250
9967220,101795_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
10025550,700351_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.006298,28,0,0,0,300x250
9259718,101633_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,22,0,0,22,728x90
6106329,101312_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.001400,3,0,0,0,300x250
11220107,101933_USINT_BTF_728x90_34258176_1,Resold Line Item,0.016876,124,0,0,109,728x90
9032007,700368_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001064,1,0,0,0,728x90
4476295,100777_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,2,0,0,2,300x250
4450253,100403_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.002594,7,0,0,4,300x250
9031120,700183_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
5633562,100183_USINT_MBL_300x250_34258176_3M,Resold Line Item,0.003301,34,0,0,30,300x250
9024163,101312_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
4523686,100874_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.002892,5,0,0,2,728x90
9010862,100404_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.023604,24,0,0,0,300x250
4434976,100244_USINT_BTF_160X600_34258176_2M,Resold Line Item,0.030346,115,0,0,86,160x600
10755435,101400_USINT_BTF_728x90_34258176_2,Resold Line Item,0.000817,51,0,0,50,728x90
9031772,700296_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.002600,1,0,0,0,300x600
7180932,300001 Demand Fusion $1.10,Resold Line Item,0.302223,166,0,0,0,300x600
4456885,100500_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,4,0,0,0,300x250
