Date,Placements,Impressions,Revenue($),Viewable Impressions
2017-07-08,101937_yettio.com_Cross Device,732,0.10,426
2017-07-08,101941_youknowdogs.com_Cross Device,11083,0.82,1065
2017-07-08,101962_insidethemagic.net_Cross Device,53197,31.22,1490
2017-07-08,101965_crossingbroad.com_Cross Device,6306,3.93,2057
2017-07-08,101971_thewagging.dog_Cross Device,13764,4.61,8458
2017-07-08,101972_thedoggyuniverse.com_Cross Device,2853,0.93,968
2017-07-08,101973_pitbullpaws.com_Cross Device,18317,20.33,10045
2017-07-08,700013_wokandskillet.com_Cross Device,364,0.36,9
2017-07-08,700021_designeddecor.com_Cross Device,828,0.70,75
2017-07-08,700029_eclecticmomsense.com_Cross Device,367,0.37,16
2017-07-08,700055_blueyonderurbanfarms.com_Cross Device,113,0.07,8
2017-07-08,700060_freshcrush.com_Cross Device,983,0.62,210
2017-07-08,700062_utahsadventurefamily.com_Cross Device,2657,1.97,200
2017-07-08,700070_nessamakes.com_Cross Device,82,0.10,10
2017-07-08,700089_hellonatureblog.com_Cross Device,614,0.19,32
2017-07-08,700098_casutalaurei.ro_Cross Device,329,0.00,83
2017-07-08,700109_dishesanddustbunnies.com_Cross Device,4004,3.35,555
2017-07-08,700112_thefragglemomma.com_Cross Device,190,0.14,49
2017-07-08,700113_lizoncall.com_Cross Device,893,0.66,108
2017-07-08,700118_happydealhappyday.com_Cross Device,626,0.22,99
2017-07-08,700122_rhapsodyinrooms.com_Cross Device,93,0.08,12
2017-07-08,700165_lizs-early-learning-spot.com_Cross Device,51,0.01,5
2017-07-08,700176_dearcreatives.com_Cross Device,162,0.11,28
2017-07-08,700182_thechroniclesofhome.com_Cross Device,666,1.13,179
2017-07-08,700201_thehoneycombhome.com_Cross Device,757,0.71,86
2017-07-08,700203_charmingimperfections.com_Cross Device,624,0.49,92
2017-07-08,700206_justinasgems.com_Cross Device,325,0.15,27
2017-07-08,700208_merrypad.com_Cross Device,724,0.88,147
2017-07-08,700210_theshirleyjourney.com_Cross Device,530,0.56,6
2017-07-08,700234_thestonybrookhouse.com_Cross Device,793,1.00,100
2017-07-08,700254_lifeanchored.com_Cross Device,345,0.20,6
2017-07-08,700271_abackpackerstale.com_Cross Device,103,0.07,16
2017-07-08,700288_classycurlies.com_Cross Device,42,0.00,13
2017-07-08,700292_imhoviewsreviewsandgiveaways.com_Cross Device,333,0.28,43
2017-07-08,700328_thehillhangout.com_Cross Device,628,0.53,29
2017-07-08,700339_thetechieguy.com_Cross Device,754,0.25,113
2017-07-08,700345_rockymountaincooking.com_Cross Device,140,0.17,4
2017-07-08,700347_whilecamdensleeps.com_Cross Device,425,0.20,11
2017-07-08,700356_justalittlecreativity.com_Cross Device,213,0.08,26
2017-07-08,700361_anallievent.com_Cross Device,167,0.14,7
2017-07-08,700370_twelveandsix.com_Cross Device,111,0.03,15
2017-07-08,700374_bostoncommons.net_Cross Device,305,0.07,16
2017-07-08,700375_girlfriendology.com_Cross Device,923,0.42,32
2017-07-08,700376_thequietgrove.com_Cross Device,321,0.12,32
2017-07-08,700378_craftandtell.com_Cross Device,113,0.06,34
2017-07-08,700385_addicted2recipes.com_Cross Device,388,0.32,43
2017-07-08,700386_lovingchristministries.com_Cross Device,216,0.19,24
2017-07-08,700393_azgrabaplate.com_Cross Device,465,0.69,77
2017-07-08,700394_preppyrunner.com_Cross Device,572,0.36,99
2017-07-08,700415_6milesdaily.com_Cross Device,520,0.24,21
2017-07-08,700417_craftytuts.com_Cross Device,1,0,0
2017-07-08,700420_underatexassky.com_Cross Device,170,0.04,31
2017-07-08,700424_backroadplanet.com_Cross Device,319,0.19,27
2017-07-08,700432_homestead-acres.com_Cross Device,300,0.21,51
2017-07-08,700434_oursundaycafe.com_Cross Device,67,0.02,9
